1,Volvo,V40,2010,84
2,Toyota,Corolla,2024,69
3,Volkswagen,Polo,2016,8
4,Peugeot,208,1999,12
5,Skoda,Fabia,2000,31
6,Volkswagen,Passat,2011,8
7,Mazda,MX-5,2005,81
8,Mazda,MX-5,2016,75
9,Skoda,Octavia,2005,6
10,Peugeot,208,2007,54
11,Ford,Ranger,2001,74
12,Audi,Q5,2024,88
13,Ford,Focus,2016,74
14,BMW,X3,2001,71
15,Volkswagen,Passat,1999,80
16,BMW,X3,2019,69
17,Skoda,Fabia,2012,75
18,Renault,Megane,2007,32
19,Ford,Ranger,2022,32
20,Volkswagen,Passat,2007,68
21,Renault,Megane,2021,58
22,Audi,Q5,2000,16
23,Peugeot,308,2003,97
24,Volvo,V40,2013,54
25,Toyota,Hilux,2000,98
26,Peugeot,3008,2023,41
27,Volvo,S60,2009,77
28,Renault,Captur,2023,59
29,Volkswagen,Golf,2006,61
30,Volkswagen,Golf,2021,90
31,Audi,Q5,2016,88
32,Renault,Megane,2020,50
33,Volvo,V40,2012,46
34,Ford,Ranger,2001,64
35,Toyota,Corolla,2022,37
36,Ford,Ranger,2005,51
37,Skoda,Fabia,2000,22
38,Renault,Megane,2015,36
39,Ford,Fiesta,2025,71
40,Audi,Q5,2011,46
41,Skoda,Octavia,2002,11
42,Ford,Focus,2005,85
43,BMW,320i,2013,76
44,Ford,Fiesta,2007,1
45,Ford,Fiesta,2015,48
46,Mazda,Mazda3,2008,17
47,Peugeot,3008,2018,87
48,Toyota,Yaris,2026,100
49,Peugeot,308,2010,52
50,Skoda,Octavia,2013,82
51,Skoda,Octavia,2004,9
52,BMW,X3,2003,15
53,Volvo,S60,1999,14
54,Toyota,Hilux,2002,69
55,Volkswagen,Polo,2017,4
56,Volkswagen,Golf,2017,49
57,Ford,Ranger,2006,45
58,Mazda,CX-5,2013,16
59,Volkswagen,Polo,2012,62
60,Renault,Megane,2000,19
61,Volkswagen,Passat,2008,95
62,Audi,A4,2024,89
63,Ford,Ranger,1998,27
64,Peugeot,308,2002,89
65,Peugeot,208,2022,68
66,Audi,Q5,2025,12
67,Audi,Q5,2009,22
68,Volvo,V40,2015,70
69,Peugeot,308,2018,29
70,Mazda,MX-5,2023,31
71,Skoda,Kodiaq,2023,30
72,BMW,M2,2013,46
73,Toyota,Corolla,2023,36
74,Renault,Megane,2004,89
75,Mazda,CX-5,2012,93
76,Volvo,XC60,2000,29
77,Volkswagen,Golf,2013,26
78,Volvo,V40,2013,80
79,Mazda,MX-5,2013,84
80,Volvo,S60,2000,85
81,Volkswagen,Polo,2023,92
82,BMW,X3,2026,23
83,Skoda,Kodiaq,2008,12
84,Skoda,Fabia,2010,96
85,Volkswagen,Passat,2003,22
86,Ford,Focus,2002,76
87,Renault,Captur,2002,79
88,Mazda,CX-5,2019,45
89,Ford,Ranger,2015,17
90,Toyota,Corolla,2023,93
91,Volkswagen,Passat,2021,18
92,Skoda,Octavia,2024,28
93,Toyota,Yaris,2004,38
94,Peugeot,208,2022,76
95,Volvo,XC60,2015,54
96,Ford,Focus,2021,46
97,Renault,Captur,2016,67
98,Skoda,Kodiaq,2002,69
99,Ford,Ranger,2014,3
100,Renault,Clio,2017,1
